num_doctors,10
num_rooms,5
roomID important  priority  Demand-1  Demand-2
    0         0         2         0         0
    1         1         4         3         1
    2         0         1         1         0
    3         0         3         2         0
    4         0         0         2         3
doctorID             Skill-1             Skill-2
     0                  []                  []
     1           [2, 3, 1]           [3, 2, 1]
     2                 [3]                 [1]
     3                  []                  []
     4                 [2]                 [0]
     5                  []                 [2]
     6                  []                  []
     7                  []                  []
     8                 [0]                 [3]
     9           [1, 0, 3]                  []
